  25660 1001      20   0 8853428 575768  52700 S  86.7   3.5  30:43.45 application
  25660 1001      20   0 8854452 576560  52700 S 412.0   3.5  30:47.57 application
  25660 1001      20   0 8854452 577352  52700 S 396.0   3.5  30:51.57 application
  25660 1001      20   0 8928184 577188  52700 S 400.0   3.5  30:55.57 application
  25660 1001      20   0 8928184 576908  52700 S 400.0   3.5  30:59.57 application
  25660 1001      20   0 8927160 577436  53728 S 399.0   3.5  31:03.56 application
  25660 1001      20   0 8927160 577964  53728 S 401.0   3.5  31:07.57 application
  25660 1001      20   0 8927160 577964  53728 S 399.0   3.5  31:11.56 application
  25660 1001      20   0 8927160 577964  53728 S 401.0   3.5  31:15.57 application
  25660 1001      20   0 8927160 577964  53728 S 399.0   3.5  31:19.56 application
  25660 1001      20   0 8927160 577964  53728 S 396.0   3.5  31:23.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:27.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:31.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:35.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:39.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:43.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:47.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:51.56 application
  25660 1001      20   0 8927160 577964  53728 S 396.0   3.5  31:55.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  31:59.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  32:03.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  32:07.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  32:11.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  32:15.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  32:19.56 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  32:23.56 application
  25660 1001      20   0 8927160 577964  53728 S 396.0   3.5  32:27.56 application
  25660 1001      20   0 8927160 577964  53728 S 401.0   3.5  32:31.57 application
  25660 1001      20   0 8927160 577964  53728 S 401.0   3.5  32:35.58 application
  25660 1001      20   0 8927160 577964  53728 S 402.0   3.5  32:39.60 application
  25660 1001      20   0 8927160 577964  53728 S 401.0   3.5  32:43.61 application
  25660 1001      20   0 8927160 577964  53728 S 400.0   3.5  32:47.61 application
  25660 1001      20   0 8927160 577964  53728 S 401.0   3.5  32:51.62 application
  25660 1001      20   0 8927160 578052  53728 S 401.0   3.5  32:55.63 application
  25660 1001      20   0 8927160 578052  53728 S 401.0   3.5  32:59.64 application
  25660 1001      20   0 8927160 578052  53728 S 401.0   3.5  33:03.65 application
  25660 1001      20   0 8927160 578052  53728 S 398.0   3.5  33:07.67 application
  25660 1001      20   0 8927160 578052  53728 S 399.0   3.5  33:11.66 application
  25660 1001      20   0 8927160 578052  53728 S 399.0   3.5  33:15.65 application
  25660 1001      20   0 8927160 578052  53728 S 402.0   3.5  33:19.67 application
  25660 1001      20   0 8927160 578052  53728 S 402.0   3.5  33:23.69 application
  25660 1001      20   0 8927160 578052  53728 S 399.0   3.5  33:27.68 application
  25660 1001      20   0 8927160 578220  53728 S 401.0   3.5  33:31.69 application
  25660 1001      20   0 8927160 578220  53728 S 402.0   3.5  33:35.71 application
  25660 1001      20   0 8927160 578220  53728 S 398.0   3.5  33:39.69 application
  25660 1001      20   0 8927160 578220  53728 S 407.0   3.5  33:43.76 application
  25660 1001      20   0 8927160 578220  53728 S 395.0   3.5  33:47.75 application
  25660 1001      20   0 8927160 578220  53728 S 404.0   3.5  33:51.79 application
  25660 1001      20   0 8927160 578220  53728 S 399.0   3.5  33:55.78 application
  25660 1001      20   0 8927
